Data generated by the ASTRA High Altitude Balloon Flight Planner - University of Southampton,,,,,
Simulation #,Time from launch [s],Latitude,Longitude,Altitude [m],Remarks
1.0,570.0,29.209966756349857,-81.06191728096442,1674.730731846878,
1.0,573.0,29.210019193575274,-81.06211401310685,1683.648065874271,
1.0,576.0,29.210071357118938,-81.06230937757334,1692.566725192812,
1.0,579.0,29.210123245556467,-81.06250337542716,1701.486709802501,
1.0,582.0,29.210174857475355,-81.06269600774807,1710.408019703338,
1.0,585.0,29.210226191475147,-81.06288727563246,1719.3306548953228,
1.0,588.0,29.210277246167465,-81.06307718019285,1728.2546153784558,
1.0,591.0,29.210328020176103,-81.06326572255776,1737.1799011527364,
1.0,594.0,29.210378512137144,-81.06345290387169,1746.1065122181653,
1.0,597.0,29.210428720699003,-81.06363872529464,1755.0344485747419,
1.0,600.0,29.210478644522528,-81.06382318800219,1763.9637102224665,
1.0,603.0,29.210528282281068,-81.06400629318509,1772.8942971613392,
1.0,606.0,29.210577632660534,-81.06418804204911,1781.8262093913597,
1.0,609.0,29.2106266943595,-81.06436843581493,1790.7594469125281,
1.0,612.0,29.21067499984819,-81.06454736897875,1799.6940097248446,
1.0,615.0,29.21072169507914,-81.06472463270563,1808.629897828309,
1.0,618.0,29.21076680489639,-81.06490021246213,1817.5671112229213,
1.0,621.0,29.210810354154685,-81.06507409440474,1826.5056499086816,
1.0,624.0,29.210852366952658,-81.0652462641676,1835.4499756764526,
1.0,627.0,29.210892867400993,-81.0654167076626,1844.40026164441,
1.0,630.0,29.210931880370296,-81.06558541195884,1853.3521575670165,
1.0,633.0,29.210969430731566,-81.06575236445306,1862.3056634442728,
1.0,636.0,29.211005543353217,-81.06591755286722,1871.260779276178,
1.0,639.0,29.211040243098136,-81.06608096524661,1880.2175050627327,
1.0,642.0,29.211073554820825,-81.06624258995765,1889.1758408039366,
1.0,645.0,29.21110550336461,-81.06640241568574,1898.1357864997901,
1.0,648.0,29.211136113558936,-81.06656043143337,1907.0973421502927,
1.0,651.0,29.211165410216708,-81.06671662651777,1916.0605077554446,
1.0,654.0,29.211193418131707,-81.06687099056876,1925.025283315246,
1.0,657.0,29.211220162076092,-81.06702351352669,1933.9916688296967,
1.0,660.0,29.211245666797932,-81.0671741856401,1942.9596642987967,
1.0,663.0,29.211269957018857,-81.06732299746362,1951.929269722546,
1.0,666.0,29.21129305743171,-81.06746993985564,1960.9004851009447,
1.0,669.0,29.21131499269833,-81.06761500397607,1969.8733104339926,
1.0,672.0,29.211335787447354,-81.06775818128419,1978.84774572169,
1.0,675.0,29.211355466272092,-81.06789946353628,1987.8237909640366,
1.0,678.0,29.21137405372848,-81.06803884278335,1996.8014461610326,
1.0,681.0,29.21139157433307,-81.06817631136899,2005.7807113126778,
1.0,684.0,29.211408052561115,-81.06831186192692,2014.7615864189725,
1.0,687.0,29.211423512844668,-81.0684454873789,2023.7440714799163,
1.0,690.0,29.211437979570785,-81.06857718093231,2032.7281664955096,
1.0,693.0,29.211451477079763,-81.0687069360779,2041.7138714657522,
1.0,696.0,29.21146405310152,-81.06883540814128,2050.701186390644,
1.0,699.0,29.2114757458025,-81.06896329089314,2059.6901112701853,
1.0,702.0,29.211486564785172,-81.06909057698799,2068.680646104376,
1.0,705.0,29.211496519663562,-81.06921725920229,2077.6727908932157,
1.0,708.0,29.211505620062393,-81.06934333044642,2086.666545636705,
1.0,711.0,29.211513875616202,-81.06946878376405,2095.6619103348435,
1.0,714.0,29.211521295968513,-81.06959361233129,2104.6588849876316,
1.0,717.0,29.21152789077098,-81.06971780945595,2113.657469595069,
1.0,720.0,29.211533669682588,-81.06984136857693,2122.6576641571555,
1.0,723.0,29.211538642368794,-81.0699642832633,2131.6594686738913,
1.0,726.0,29.211542818500746,-81.07008654721378,2140.6628831452763,
1.0,729.0,29.21154620775448,-81.07020815425584,2149.667907571311,
1.0,732.0,29.21154881981011,-81.07032909834506,2158.674541951995,
1.0,735.0,29.21155066435107,-81.07044937356443,2167.682786287328,
1.0,738.0,29.211551751063325,-81.0705689741236,2176.6926405773106,
1.0,741.0,29.21155208963461,-81.07068789435816,2185.7041048219426,
1.0,744.0,29.211551689753673,-81.07080612872899,2194.7171790212237,
1.0,747.0,29.21155056110953,-81.07092367182146,2203.731863175154,
1.0,750.0,29.21154871339072,-81.0710405183449,2212.748157283734,
1.0,753.0,29.211546156284587,-81.07115666313172,2221.7660613469634,
1.0,756.0,29.211542899476527,-81.07127210113674,2230.785575364842,
1.0,759.0,29.21153895264931,-81.07138682743668,2239.8066993373695,
1.0,762.0,29.211534325482326,-81.07150083722921,2248.8294332645464,
1.0,765.0,29.211529027650943,-81.07161412583251,2257.853777146373,
1.0,768.0,29.211523068825755,-81.07172668868442,2266.8797309828487,
1.0,771.0,29.211516458671927,-81.07183852134179,2275.907294773974,
1.0,774.0,29.21150920684851,-81.07194961947988,2284.9364685197484,
1.0,777.0,29.21150132300778,-81.07205997889163,2293.967252220172,
1.0,780.0,29.211492816794532,-81.07216959548695,2302.9996458752453,
1.0,783.0,29.211484073974013,-81.07227858569236,2312.033649484968,
1.0,786.0,29.211475164602874,-81.07238697080939,2321.0692630493395,
1.0,789.0,29.211466091466338,-81.07249475093397,2330.1064865683607,
1.0,792.0,29.211456857340423,-81.07260192614203,2339.145320042031,
1.0,795.0,29.211447464991892,-81.0727084965216,2348.185763470351,
1.0,798.0,29.21143791717824,-81.07281446217284,2357.2278168533203,
1.0,801.0,29.211428216647608,-81.07291982320778,2366.2714801909387,
1.0,804.0,29.21141836613879,-81.07302457975037,2375.3167534832064,
1.0,807.0,29.211408368381132,-81.07312873193618,2384.3636367301233,
1.0,810.0,29.211398226103565,-81.07323227994813,2393.4116046323907,
1.0,813.0,29.211387942022625,-81.0733352239708,2402.460802286187,
1.0,816.0,29.211377518839075,-81.07343756417616,2411.5115816405996,
1.0,819.0,29.211366959244067,-81.07353930074741,2420.5639426956277,
1.0,822.0,29.21135626591913,-81.07364043387904,2429.6178854512714,
1.0,825.0,29.21134544153608,-81.07374096377647,2438.6734099075306,
1.0,828.0,29.211334488757053,-81.0738408906562,2447.7305160644055,
